Species Name,Breeding Lat,Migration Length,Taxonomy,Scientific Name,theta_2_5,theta_50,theta_97_5,Sig +,Sig -,Diurnal Migrant,Notes
MacGillivray's Warbler,46.37581,3240.507,Parulidae,Oporornis tolmiei,0.062485471,0.103024113,0.143988801,1,0,N,
Mourning Warbler,48.72016,4725.2186,Parulidae,Oporornis philadelphia,0.023520655,0.135090964,0.253425273,1,0,N,
Townsend's Warbler,50.35711,3807.0472,Parulidae,Dendroica townsendi,0.021063721,0.076235647,0.13252475,1,0,N,
Virginia's Warbler,37.69206,2227.982,Parulidae,Vermivora virginiae,-0.040635239,0.079503278,0.198984252,0,0,N,"""Little known, and almost nothing documented; assumed to migrate mostly at night."""
Eastern Towhee,37.55913,358.21546,Passerellidae,Pipilo erythrophthalmus,-0.034537482,0.008638327,0.050077225,0,0,N,"""Migrates nocturnally. In Connecticut, observed performing postdawn diurnal flights landward from over Long Island Sound, perhaps correcting for overnight wind drift"""
Brewer's Sparrow,42.50916,1313.13707,Passerellidae,Spizella breweri,-0.166126804,-0.127758939,-0.089096733,0,1,N,
Field Sparrow,39.72664,518.34324,Passerellidae,Spizella pusilla,0.009469611,0.037379033,0.064850778,1,0,N,
Golden-crowned Sparrow,61.45581,3030.1051,Passerellidae,Zonotrichia atricapilla,0.014156088,0.060240337,0.107844307,1,0,N,
Green-tailed Towhee,40.69832,1298.0753,Passerellidae,Pipilo chlorurus,-0.201601835,-0.134654276,-0.067682753,0,1,N,"""researchers now consider it a nocturnal migrant"""
Harris's Sparrow,60.216,2646.931,Passerellidae,Zonotrichia querula,-0.039005136,0.025649373,0.089011887,0,0,N,"""Mainly migrate at night"""
LeConte's Sparrow,53.4848,2461.6354,Passerellidae,Ammospiza leconteii,-0.225817069,-0.070922577,0.08695139,0,0,N,
Saltmarsh Sparrow,40.87835,999.5064,Passerellidae,Ammodramus caudacutus,-0.241359151,-0.069364132,0.107307264,0,0,N,
